order_id,customer_id,product_name,amount,order_date
1,102,Laptop,1319.09,2026-01-01
2,101,Headphones,63.95,2026-01-01
3,101,Keyboard,59.53,2026-01-02
4,105,Laptop,953.05,2026-01-02
5,105,Keyboard,43.92,2026-01-03
6,105,Monitor,227.15,2026-01-03
7,102,Laptop,1331.17,2026-01-04
8,103,Mouse,34.02,2026-01-04
9,103,Headphones,71.53,2026-01-04
10,101,Laptop,864.92,2026-01-04
11,101,Desk Chair,220.75,2026-01-05
12,101,Mouse,35.67,2026-01-05
13,103,Monitor,177.58,2026-01-05
14,103,Mouse,42.83,2026-01-05
15,102,Mouse,18.13,2026-01-06
16,102,Desk Chair,297.04,2026-01-06
17,104,Laptop,1066.09,2026-01-06
18,102,Headphones,87.02,2026-01-07
19,101,Mouse,27.01,2026-01-07
20,105,Keyboard,74.45,2026-01-07
21,104,Mouse,26.02,2026-01-07
22,105,Desk Chair,297.9,2026-01-08
23,101,Headphones,118.46,2026-01-08
24,103,Headphones,132.18,2026-01-08
25,102,Monitor,243.71,2026-01-08
26,103,Keyboard,91.35,2026-01-08
27,104,Mouse,37.47,2026-01-09
28,102,Headphones,76.49,2026-01-09
29,103,Mouse,40.26,2026-01-09
30,102,Keyboard,57.96,2026-01-10
31,101,Headphones,100.95,2026-01-10
32,102,Laptop,1402.77,2026-01-10
33,104,Mouse,22.2,2026-01-10
34,104,Keyboard,34.45,2026-01-10
35,105,Keyboard,47.6,2026-01-11
36,101,Laptop,1276.2,2026-01-11
37,103,Mouse,54.82,2026-01-11
38,103,Mouse,30.31,2026-01-11
39,101,Monitor,205.36,2026-01-11
40,105,Keyboard,83.34,2026-01-12
41,103,Laptop,1409.36,2026-01-12
42,102,Mouse,37.84,2026-01-12
43,102,Headphones,87.39,2026-01-12
44,101,Keyboard,52.69,2026-01-13
45,103,Laptop,1450.37,2026-01-13
46,105,Laptop,968.61,2026-01-14
47,104,Laptop,859.96,2026-01-14
48,105,Laptop,1484.59,2026-01-14
49,105,Headphones,115.98,2026-01-15
50,105,Headphones,76.51,2026-01-15
51,105,Monitor,487.53,2026-01-15
52,103,Mouse,29.03,2026-01-16
53,104,Monitor,464.86,2026-01-16
54,101,Laptop,973.53,2026-01-16
55,102,Laptop,1211.82,2026-01-17
56,101,Keyboard,45.42,2026-01-17
57,102,Mouse,43.4,2026-01-17
58,103,Laptop,1433.79,2026-01-17
59,104,Keyboard,46.66,2026-01-18
60,105,Headphones,103.92,2026-01-18
61,104,Headphones,128.46,2026-01-19
62,104,Headphones,59.43,2026-01-19
63,104,Desk Chair,184.72,2026-01-19
64,101,Mouse,17.44,2026-01-19
65,103,Laptop,1081.83,2026-01-19
66,105,Headphones,69.16,2026-01-20
67,102,Monitor,199.06,2026-01-20
68,101,Monitor,237.43,2026-01-21
69,105,Monitor,432.81,2026-01-21
70,105,Laptop,835.41,2026-01-21
71,102,Laptop,1478.3,2026-01-21
72,102,Monitor,319.97,2026-01-22
73,102,Monitor,465.86,2026-01-22
74,104,Monitor,150.75,2026-01-22
75,105,Monitor,249.84,2026-01-23
76,102,Mouse,47.33,2026-01-23
77,101,Headphones,79.67,2026-01-23
78,101,Keyboard,81.5,2026-01-23
79,104,Laptop,835.1,2026-01-24
80,105,Keyboard,94.36,2026-01-24
81,105,Headphones,55.69,2026-01-24
82,101,Laptop,1395.94,2026-01-24
83,104,Mouse,53.78,2026-01-25
84,105,Laptop,1459.12,2026-01-25
85,105,Keyboard,71.62,2026-01-26
86,105,Laptop,1093.46,2026-01-26
87,103,Keyboard,66.59,2026-01-26
88,102,Mouse,47.23,2026-01-27
89,103,Desk Chair,179.16,2026-01-27
90,101,Monitor,260.66,2026-01-27
91,105,Monitor,367.41,2026-01-28
92,102,Laptop,851.28,2026-01-28
93,101,Headphones,143.33,2026-01-29
94,102,Headphones,86.95,2026-01-29
95,103,Monitor,441.81,2026-01-29
96,105,Keyboard,98.87,2026-01-29
97,103,Mouse,51.77,2026-01-30
98,102,Mouse,19.66,2026-01-30
99,105,Laptop,1422.8,2026-01-31
100,105,Headphones,77.23,2026-01-31
101,102,Headphones,121.76,2026-01-31
102,103,Mouse,43.54,2026-01-31
103,101,Desk Chair,281.07,2026-02-01
104,103,Laptop,1244.0,2026-02-01
105,102,Laptop,802.48,2026-02-01
106,102,Mouse,59.09,2026-02-01
107,104,Mouse,34.88,2026-02-01
108,102,Laptop,852.67,2026-02-02
109,103,Keyboard,32.52,2026-02-02
110,103,Monitor,194.61,2026-02-03
111,101,Desk Chair,279.8,2026-02-03
112,102,Desk Chair,142.02,2026-02-03
113,104,Desk Chair,256.02,2026-02-04
114,102,Keyboard,82.46,2026-02-04
115,101,Headphones,138.14,2026-02-05
116,103,Headphones,123.66,2026-02-05
117,102,Monitor,430.78,2026-02-05
118,101,Headphones,128.74,2026-02-06
119,104,Monitor,455.26,2026-02-06
120,104,Headphones,69.96,2026-02-06
121,102,Desk Chair,161.04,2026-02-06
122,104,Laptop,1262.02,2026-02-07
123,101,Desk Chair,155.72,2026-02-07
124,105,Desk Chair,170.23,2026-02-07
125,105,Mouse,59.15,2026-02-08
126,101,Desk Chair,287.85,2026-02-08
127,103,Desk Chair,135.71,2026-02-08
128,104,Laptop,875.88,2026-02-08
129,103,Desk Chair,245.71,2026-02-08
130,101,Keyboard,98.9,2026-02-09
131,102,Monitor,464.83,2026-02-09
132,104,Desk Chair,108.88,2026-02-09
133,105,Laptop,1163.94,2026-02-09
134,102,Mouse,47.37,2026-02-09
135,103,Monitor,174.49,2026-02-10
136,101,Keyboard,51.97,2026-02-10
137,105,Mouse,55.5,2026-02-10
138,103,Desk Chair,233.38,2026-02-10
139,102,Mouse,28.3,2026-02-11
140,104,Headphones,92.04,2026-02-11
141,102,Mouse,48.67,2026-02-11
142,104,Keyboard,69.84,2026-02-11
143,103,Keyboard,88.36,2026-02-11
144,105,Headphones,92.99,2026-02-12
145,104,Keyboard,75.83,2026-02-12
146,102,Monitor,304.76,2026-02-12
147,102,Keyboard,63.12,2026-02-12
148,105,Desk Chair,203.09,2026-02-13
149,102,Desk Chair,118.68,2026-02-13
150,102,Headphones,130.66,2026-02-14
151,104,Laptop,832.35,2026-02-14
152,101,Keyboard,89.48,2026-02-14
153,105,Monitor,295.05,2026-02-14
154,104,Mouse,46.34,2026-02-15
155,101,Monitor,235.39,2026-02-15
156,102,Laptop,1344.89,2026-02-15
157,101,Mouse,38.31,2026-02-16
158,101,Keyboard,47.44,2026-02-16
159,104,Monitor,196.67,2026-02-16
160,105,Monitor,364.43,2026-02-17
161,105,Monitor,440.7,2026-02-17
162,104,Monitor,464.02,2026-02-17
163,102,Monitor,240.72,2026-02-17
164,102,Keyboard,63.92,2026-02-18
165,103,Desk Chair,187.97,2026-02-18
166,103,Headphones,77.17,2026-02-18
167,102,Keyboard,35.64,2026-02-18
168,102,Monitor,392.88,2026-02-19
169,103,Laptop,1090.41,2026-02-19
170,101,Keyboard,62.61,2026-02-19
171,105,Monitor,286.32,2026-02-20
172,105,Mouse,15.88,2026-02-20
173,103,Monitor,316.94,2026-02-20
174,104,Monitor,448.71,2026-02-21
175,105,Keyboard,82.33,2026-02-21
176,104,Keyboard,92.85,2026-02-21
177,104,Headphones,77.29,2026-02-21
178,104,Monitor,267.65,2026-02-22
179,104,Mouse,22.43,2026-02-22
180,104,Keyboard,67.39,2026-02-23
181,101,Keyboard,69.51,2026-02-23
182,102,Laptop,1249.92,2026-02-23
183,104,Headphones,55.03,2026-02-24
184,103,Desk Chair,142.33,2026-02-24
185,104,Desk Chair,252.25,2026-02-24
186,104,Desk Chair,250.4,2026-02-24
187,104,Desk Chair,266.98,2026-02-24
188,103,Mouse,39.27,2026-02-25
189,101,Headphones,115.01,2026-02-25
190,101,Headphones,69.94,2026-02-26
191,102,Keyboard,40.67,2026-02-26
192,102,Mouse,20.15,2026-02-27
193,103,Monitor,394.81,2026-02-27
194,101,Headphones,110.59,2026-02-27
195,101,Headphones,146.47,2026-02-27
196,103,Keyboard,31.8,2026-02-27
197,102,Monitor,479.51,2026-02-28
198,102,Laptop,1214.47,2026-02-28
199,103,Laptop,1288.04,2026-02-28
200,101,Mouse,42.02,2026-02-28
201,103,Keyboard,84.78,2026-02-28
202,105,Mouse,31.68,2026-03-01
203,104,Mouse,30.36,2026-03-01
204,103,Monitor,186.94,2026-03-01
205,104,Mouse,55.12,2026-03-01
206,102,Mouse,21.88,2026-03-01
207,105,Keyboard,86.57,2026-03-02
208,105,Monitor,312.71,2026-03-02
209,102,Desk Chair,164.46,2026-03-02
210,104,Laptop,995.25,2026-03-02
211,104,Monitor,349.45,2026-03-03
212,103,Desk Chair,105.74,2026-03-03
213,103,Headphones,98.75,2026-03-03
214,105,Desk Chair,155.93,2026-03-04
215,105,Mouse,54.6,2026-03-04
216,102,Laptop,1161.64,2026-03-04
217,104,Laptop,968.95,2026-03-04
218,104,Keyboard,83.07,2026-03-05
219,104,Mouse,47.03,2026-03-05
220,102,Laptop,865.14,2026-03-05
221,103,Monitor,392.13,2026-03-05
222,104,Mouse,41.17,2026-03-05
223,105,Monitor,498.82,2026-03-06
224,104,Desk Chair,170.36,2026-03-06
225,102,Desk Chair,161.32,2026-03-06
226,103,Laptop,1304.9,2026-03-06
227,102,Mouse,39.11,2026-03-07
228,104,Headphones,71.64,2026-03-07
229,105,Mouse,41.53,2026-03-08
230,101,Keyboard,49.81,2026-03-08
231,103,Headphones,79.62,2026-03-08
232,105,Headphones,80.23,2026-03-08
233,101,Desk Chair,109.1,2026-03-09
234,102,Keyboard,50.45,2026-03-09
235,104,Mouse,54.08,2026-03-09
236,104,Laptop,1201.84,2026-03-10
237,102,Monitor,304.16,2026-03-10
238,104,Desk Chair,288.21,2026-03-11
239,104,Laptop,1375.48,2026-03-11
240,101,Laptop,1203.91,2026-03-12
241,105,Headphones,64.92,2026-03-12
242,102,Desk Chair,117.04,2026-03-12
243,104,Laptop,1190.65,2026-03-12
244,105,Keyboard,71.73,2026-03-12
245,104,Keyboard,56.63,2026-03-13
246,104,Desk Chair,272.03,2026-03-13
247,101,Desk Chair,213.73,2026-03-13
248,103,Headphones,112.55,2026-03-14
249,102,Mouse,18.65,2026-03-14
250,101,Keyboard,35.25,2026-03-15
251,105,Monitor,307.68,2026-03-15
252,102,Monitor,251.94,2026-03-15
253,104,Mouse,27.72,2026-03-16
254,103,Laptop,1281.17,2026-03-16
255,102,Mouse,41.54,2026-03-16
256,102,Monitor,190.17,2026-03-16
257,101,Desk Chair,265.33,2026-03-17
258,103,Laptop,916.15,2026-03-17
259,105,Keyboard,82.43,2026-03-17
260,103,Monitor,193.52,2026-03-18
261,103,Mouse,33.11,2026-03-18
262,104,Keyboard,67.8,2026-03-18
263,104,Laptop,1218.63,2026-03-18
264,101,Keyboard,47.53,2026-03-19
265,105,Headphones,146.19,2026-03-19
266,103,Keyboard,96.56,2026-03-19
267,102,Keyboard,32.82,2026-03-19
268,103,Keyboard,75.61,2026-03-20
269,104,Headphones,149.69,2026-03-20
270,101,Mouse,51.64,2026-03-20
271,103,Monitor,271.79,2026-03-20
272,102,Desk Chair,234.03,2026-03-20
273,103,Monitor,392.79,2026-03-21
274,105,Mouse,57.53,2026-03-21
275,103,Laptop,1118.38,2026-03-21
276,104,Desk Chair,164.65,2026-03-21
277,104,Mouse,54.12,2026-03-22
278,105,Monitor,168.97,2026-03-22
279,104,Keyboard,82.95,2026-03-23
280,105,Laptop,942.49,2026-03-23
281,104,Headphones,142.77,2026-03-23
282,101,Mouse,36.81,2026-03-23
283,105,Mouse,22.13,2026-03-24
284,101,Laptop,1186.58,2026-03-24
285,101,Headphones,149.23,2026-03-24
286,102,Laptop,1253.4,2026-03-25
