order_id,customer_id,amount
1,2,22.26
2,5,130.0
3,3,370.87
4,9,52.6
5,7,25.57
6,2,117.13
7,9,304.99
8,9,107.43
9,9,215.56
10,8,298.74
11,1,381.82
12,3,352.09
13,6,146.16
14,4,479.03
15,6,60.08
16,7,57.39
17,6,305.83
18,1,367.57
19,9,71.16
20,7,48.61
21,5,416.41
22,10,443.87
23,6,292.9
24,2,32.45
25,4,388.8
26,2,429.11
27,2,196.26
28,8,321.49
29,6,89.7
30,6,112.66
31,5,353.89
32,2,308.47
33,3,271.73
34,4,90.07
35,7,142.27
36,9,117.61
37,6,423.0
38,1,122.23
39,1,404.47
40,7,141.19
41,4,457.44
42,10,439.42
43,6,114.19
44,8,203.86
45,8,80.01
46,3,130.85
47,9,274.1
48,10,219.93
49,10,205.71
50,4,498.69
51,3,259.67
52,2,380.33
53,2,84.89
54,3,398.12
55,7,302.24
56,7,196.99
57,8,269.27
58,9,431.78
59,1,343.34
60,2,344.04
61,9,377.93
62,6,64.66
63,7,87.5
64,1,477.37
65,5,486.23
66,3,258.76
67,2,436.55
68,5,422.42
69,9,308.4
70,3,193.22
71,3,274.3
72,9,460.06
73,10,168.84
74,1,64.82
75,6,440.57
76,5,127.33
77,4,440.22
78,2,51.97
79,8,409.85
80,9,385.26
81,3,333.28
82,9,90.91
83,9,437.49
84,7,482.54
85,9,380.08
86,4,359.34
87,7,497.62
88,6,224.67
89,9,231.23
90,4,120.1
91,6,20.31
92,9,122.76
93,4,13.52
94,1,122.18
95,1,431.22
96,2,261.94
97,5,337.8
98,4,274.22
99,10,292.34
100,4,394.46
101,7,103.3
102,2,332.9
103,6,217.55
104,8,433.28
105,1,339.95
106,2,39.7
107,6,402.29
108,2,131.84
109,4,272.78
110,3,216.72
111,5,236.69
112,2,227.13
113,9,57.98
114,9,419.65
115,2,463.92
116,4,91.49
117,8,245.87
118,7,452.2
119,3,195.7
120,7,139.95
121,8,149.77
122,9,334.32
123,8,85.85
124,5,116.67
125,1,293.8
126,9,39.87
127,6,38.01
128,10,243.63
129,9,87.14
130,9,49.25
131,3,43.58
132,2,340.85
133,4,207.85
134,10,130.65
135,10,29.47
136,2,215.42
137,10,286.96
138,6,468.01
139,4,338.17
140,6,126.96
141,7,74.13
142,5,234.04
143,2,14.56
144,10,499.24
145,2,45.9
146,4,257.88
147,3,467.3
148,2,440.84
149,6,149.64
150,8,418.54
151,5,309.72
152,9,13.83
153,9,156.7
154,2,470.08
155,3,139.59
156,2,373.78
157,3,143.45
158,10,113.21
159,6,109.76
160,5,257.65
161,5,453.61
162,1,55.23
163,7,416.38
164,1,11.74
165,3,322.19
166,5,89.18
167,8,280.32
168,7,284.84
169,2,46.87
170,3,277.34
171,6,295.43
172,3,220.6
173,1,161.05
174,1,450.47
175,4,344.21
176,2,183.3
177,9,443.23
178,7,487.18
179,3,463.62
180,4,433.66
181,3,441.89
182,1,97.89
183,6,393.37
184,7,403.1
185,4,140.73
186,2,197.45
187,1,430.71
188,4,107.79
189,8,181.33
190,4,119.23
191,4,205.25
192,5,433.53
193,5,182.06
194,9,205.84
195,9,172.26
196,1,66.52
197,5,97.5
198,5,28.75
199,10,222.94
200,6,223.83
201,9,66.67
202,10,103.14
203,1,357.3
204,1,264.76
205,9,346.56
206,4,188.47
207,2,474.95
208,6,315.35
209,2,362.68
210,5,258.49
211,7,169.83
212,5,281.66
213,4,216.02
214,7,341.89
215,3,311.6
216,5,208.98
217,1,158.9
